Player Name,State,Country,Email_Id,Registered Flag,T-Shirt Size,Fees Paid Flag,Phone Number
US Player 001,California,US,us.player001@carromus.org,Yes,S,Yes,+1-408-555-1001
US Player 002,Texas,US,us.player002@carromus.org,Yes,M,Yes,+1-408-555-1002
US Player 003,Florida,US,us.player003@carromus.org,No,L,Yes,+1-408-555-1003
US Player 004,NewYork,US,us.player004@carromus.org,Yes,XL,No,+1-408-555-1004
US Player 005,Illinois,US,us.player005@carromus.org,Yes,S,Yes,+1-408-555-1005
US Player 006,Georgia,US,us.player006@carromus.org,No,M,Yes,+1-408-555-1006
US Player 007,Arizona,US,us.player007@carromus.org,Yes,L,Yes,+1-408-555-1007
US Player 008,Ohio,US,us.player008@carromus.org,Yes,XL,No,+1-408-555-1008
US Player 009,Washington,US,us.player009@carromus.org,No,S,Yes,+1-408-555-1009
US Player 010,Colorado,US,us.player010@carromus.org,Yes,M,Yes,+1-408-555-1010
US Player 011,Virginia,US,us.player011@carromus.org,Yes,L,Yes,+1-408-555-1011
US Player 012,Michigan,US,us.player012@carromus.org,No,XL,No,+1-408-555-1012
US Player 013,California,US,us.player013@carromus.org,Yes,S,Yes,+1-408-555-1013
US Player 014,Texas,US,us.player014@carromus.org,Yes,M,Yes,+1-408-555-1014
US Player 015,Florida,US,us.player015@carromus.org,No,L,Yes,+1-408-555-1015
US Player 016,NewYork,US,us.player016@carromus.org,Yes,XL,No,+1-408-555-1016
US Player 017,Illinois,US,us.player017@carromus.org,Yes,S,Yes,+1-408-555-1017
US Player 018,Georgia,US,us.player018@carromus.org,No,M,Yes,+1-408-555-1018
US Player 019,Arizona,US,us.player019@carromus.org,Yes,L,Yes,+1-408-555-1019
US Player 020,Ohio,US,us.player020@carromus.org,Yes,XL,No,+1-408-555-1020
US Player 021,Washington,US,us.player021@carromus.org,No,S,Yes,+1-408-555-1021
US Player 022,Colorado,US,us.player022@carromus.org,Yes,M,Yes,+1-408-555-1022
US Player 023,Virginia,US,us.player023@carromus.org,Yes,L,Yes,+1-408-555-1023
US Player 024,Michigan,US,us.player024@carromus.org,No,XL,No,+1-408-555-1024
US Newcomer 01,Arizona,US,us.newcomer01@carromus.org,Yes,L,No,+1-650-555-2001
US Newcomer 02,Ohio,US,us.newcomer02@carromus.org,Yes,XL,No,+1-650-555-2002
US Newcomer 03,Washington,US,us.newcomer03@carromus.org,Yes,S,No,+1-650-555-2003
US Newcomer 04,Colorado,US,us.newcomer04@carromus.org,Yes,M,No,+1-650-555-2004
US Newcomer 05,Virginia,US,us.newcomer05@carromus.org,Yes,L,No,+1-650-555-2005
US Newcomer 06,Michigan,US,us.newcomer06@carromus.org,Yes,XL,No,+1-650-555-2006
US Newcomer 07,California,US,us.newcomer07@carromus.org,Yes,S,No,+1-650-555-2007
US Newcomer 08,Texas,US,us.newcomer08@carromus.org,Yes,M,No,+1-650-555-2008
India Player 01,Karnataka,India,india.player01@carromindia.in,Yes,XL,Yes,+91-90000-30001
India Player 02,TamilNadu,India,india.player02@carromindia.in,Yes,S,Yes,+91-90000-30002
India Player 03,Maharashtra,India,india.player03@carromindia.in,Yes,M,Yes,+91-90000-30003
India Player 04,Kerala,India,india.player04@carromindia.in,Yes,L,Yes,+91-90000-30004
India Player 05,Telangana,India,india.player05@carromindia.in,Yes,XL,No,+91-90000-30005
India Player 06,Gujarat,India,india.player06@carromindia.in,Yes,S,Yes,+91-90000-30006
India Player 07,Delhi,India,india.player07@carromindia.in,Yes,M,Yes,+91-90000-30007
India Player 08,Punjab,India,india.player08@carromindia.in,Yes,L,Yes,+91-90000-30008
India Player 09,Rajasthan,India,india.player09@carromindia.in,Yes,XL,Yes,+91-90000-30009
India Player 10,WestBengal,India,india.player10@carromindia.in,Yes,S,No,+91-90000-30010
India Player 11,Haryana,India,india.player11@carromindia.in,Yes,M,Yes,+91-90000-30011
India Player 12,Odisha,India,india.player12@carromindia.in,Yes,L,Yes,+91-90000-30012
India Player 13,Karnataka,India,india.player13@carromindia.in,Yes,XL,Yes,+91-90000-30013
India Player 14,TamilNadu,India,india.player14@carromindia.in,Yes,S,Yes,+91-90000-30014
India Player 15,Maharashtra,India,india.player15@carromindia.in,Yes,M,No,+91-90000-30015
India Player 16,Kerala,India,india.player16@carromindia.in,Yes,L,Yes,+91-90000-30016
Canada Player 01,Ontario,Canada,canada.player01@carromcanada.ca,Yes,S,Yes,+1-778-555-4001
Canada Player 02,Quebec,Canada,canada.player02@carromcanada.ca,Yes,M,Yes,+1-778-555-4002
Canada Player 03,Alberta,Canada,canada.player03@carromcanada.ca,Yes,L,Yes,+1-778-555-4003
Canada Player 04,BritishColumbia,Canada,canada.player04@carromcanada.ca,Yes,XL,Yes,+1-778-555-4004
Canada Player 05,Manitoba,Canada,canada.player05@carromcanada.ca,Yes,S,Yes,+1-778-555-4005
Canada Player 06,Saskatchewan,Canada,canada.player06@carromcanada.ca,No,M,Yes,+1-778-555-4006
Canada Player 07,NovaScotia,Canada,canada.player07@carromcanada.ca,Yes,L,Yes,+1-778-555-4007
Canada Player 08,NewBrunswick,Canada,canada.player08@carromcanada.ca,Yes,XL,Yes,+1-778-555-4008
Canada Player 09,Newfoundland,Canada,canada.player09@carromcanada.ca,Yes,S,Yes,+1-778-555-4009
Canada Player 10,Labrador,Canada,canada.player10@carromcanada.ca,Yes,M,Yes,+1-778-555-4010
Canada Player 11,Ontario,Canada,canada.player11@carromcanada.ca,Yes,L,Yes,+1-778-555-4011
Canada Player 12,Quebec,Canada,canada.player12@carromcanada.ca,No,XL,Yes,+1-778-555-4012
Canada Player 13,Alberta,Canada,canada.player13@carromcanada.ca,Yes,S,Yes,+1-778-555-4013
Canada Player 14,BritishColumbia,Canada,canada.player14@carromcanada.ca,Yes,M,Yes,+1-778-555-4014
Canada Player 15,Manitoba,Canada,canada.player15@carromcanada.ca,Yes,L,Yes,+1-778-555-4015
Canada Player 16,Saskatchewan,Canada,canada.player16@carromcanada.ca,Yes,XL,Yes,+1-778-555-4016
