Rank,Player Name,State,Country,Email_Id,Ranking Points,Ranking Year,Last Updated
1,US Player 001,California,US,us.player001@carromus.org,2500,2026,2026-01-01T12:00:00Z
2,US Player 002,Texas,US,us.player002@carromus.org,2491,2026,2026-02-02T12:00:00Z
3,US Player 003,Florida,US,us.player003@carromus.org,2482,2026,2026-03-03T12:00:00Z
4,US Player 004,NewYork,US,us.player004@carromus.org,2473,2026,2026-04-04T12:00:00Z
5,US Player 005,Illinois,US,us.player005@carromus.org,2464,2026,2026-05-05T12:00:00Z
6,US Player 006,Georgia,US,us.player006@carromus.org,2455,2026,2026-06-06T12:00:00Z
7,US Player 007,Arizona,US,us.player007@carromus.org,2446,2026,2026-07-07T12:00:00Z
8,US Player 008,Ohio,US,us.player008@carromus.org,2437,2026,2026-08-08T12:00:00Z
9,US Player 009,Washington,US,us.player009@carromus.org,2428,2026,2026-09-09T12:00:00Z
10,US Player 010,Colorado,US,us.player010@carromus.org,2419,2026,2026-10-10T12:00:00Z
11,US Player 011,Virginia,US,us.player011@carromus.org,2410,2026,2026-11-11T12:00:00Z
12,US Player 012,Michigan,US,us.player012@carromus.org,2401,2026,2026-12-12T12:00:00Z
13,US Player 013,California,US,us.player013@carromus.org,2392,2026,2026-01-13T12:00:00Z
14,US Player 014,Texas,US,us.player014@carromus.org,2383,2026,2026-02-14T12:00:00Z
15,US Player 015,Florida,US,us.player015@carromus.org,2374,2026,2026-03-15T12:00:00Z
16,US Player 016,NewYork,US,us.player016@carromus.org,2365,2026,2026-04-16T12:00:00Z
17,US Player 017,Illinois,US,us.player017@carromus.org,2356,2026,2026-05-17T12:00:00Z
18,US Player 018,Georgia,US,us.player018@carromus.org,2347,2026,2026-06-18T12:00:00Z
19,US Player 019,Arizona,US,us.player019@carromus.org,2338,2026,2026-07-19T12:00:00Z
20,US Player 020,Ohio,US,us.player020@carromus.org,2329,2026,2026-08-20T12:00:00Z
21,US Player 021,Washington,US,us.player021@carromus.org,2320,2026,2026-09-21T12:00:00Z
22,US Player 022,Colorado,US,us.player022@carromus.org,2311,2026,2026-10-22T12:00:00Z
23,US Player 023,Virginia,US,us.player023@carromus.org,2302,2026,2026-11-23T12:00:00Z
24,US Player 024,Michigan,US,us.player024@carromus.org,2293,2026,2026-12-24T12:00:00Z
25,US Player 025,California,US,us.player025@carromus.org,2284,2026,2026-01-25T12:00:00Z
26,US Player 026,Texas,US,us.player026@carromus.org,2275,2026,2026-02-26T12:00:00Z
27,US Player 027,Florida,US,us.player027@carromus.org,2266,2026,2026-03-27T12:00:00Z
28,US Player 028,NewYork,US,us.player028@carromus.org,2257,2026,2026-04-28T12:00:00Z
29,US Player 029,Illinois,US,us.player029@carromus.org,2248,2026,2026-05-01T12:00:00Z
30,US Player 030,Georgia,US,us.player030@carromus.org,2239,2026,2026-06-02T12:00:00Z
31,US Player 031,Arizona,US,us.player031@carromus.org,2230,2026,2026-07-03T12:00:00Z
32,US Player 032,Ohio,US,us.player032@carromus.org,2221,2026,2026-08-04T12:00:00Z
33,US Player 033,Washington,US,us.player033@carromus.org,2212,2026,2026-09-05T12:00:00Z
34,US Player 034,Colorado,US,us.player034@carromus.org,2203,2026,2026-10-06T12:00:00Z
35,US Player 035,Virginia,US,us.player035@carromus.org,2194,2026,2026-11-07T12:00:00Z
36,US Player 036,Michigan,US,us.player036@carromus.org,2185,2026,2026-12-08T12:00:00Z
37,US Player 037,California,US,us.player037@carromus.org,2176,2026,2026-01-09T12:00:00Z
38,US Player 038,Texas,US,us.player038@carromus.org,2167,2026,2026-02-10T12:00:00Z
39,US Player 039,Florida,US,us.player039@carromus.org,2158,2026,2026-03-11T12:00:00Z
40,US Player 040,NewYork,US,us.player040@carromus.org,2149,2026,2026-04-12T12:00:00Z
41,US Player 041,Illinois,US,us.player041@carromus.org,2140,2026,2026-05-13T12:00:00Z
42,US Player 042,Georgia,US,us.player042@carromus.org,2131,2026,2026-06-14T12:00:00Z
43,US Player 043,Arizona,US,us.player043@carromus.org,2122,2026,2026-07-15T12:00:00Z
44,US Player 044,Ohio,US,us.player044@carromus.org,2113,2026,2026-08-16T12:00:00Z
45,US Player 045,Washington,US,us.player045@carromus.org,2104,2026,2026-09-17T12:00:00Z
46,US Player 046,Colorado,US,us.player046@carromus.org,2095,2026,2026-10-18T12:00:00Z
47,US Player 047,Virginia,US,us.player047@carromus.org,2086,2026,2026-11-19T12:00:00Z
48,US Player 048,Michigan,US,us.player048@carromus.org,2077,2026,2026-12-20T12:00:00Z
49,US Player 049,California,US,us.player049@carromus.org,2068,2026,2026-01-21T12:00:00Z
50,US Player 050,Texas,US,us.player050@carromus.org,2059,2026,2026-02-22T12:00:00Z
51,US Player 051,Florida,US,us.player051@carromus.org,2050,2026,2026-03-23T12:00:00Z
52,US Player 052,NewYork,US,us.player052@carromus.org,2041,2026,2026-04-24T12:00:00Z
53,US Player 053,Illinois,US,us.player053@carromus.org,2032,2026,2026-05-25T12:00:00Z
54,US Player 054,Georgia,US,us.player054@carromus.org,2023,2026,2026-06-26T12:00:00Z
55,US Player 055,Arizona,US,us.player055@carromus.org,2014,2026,2026-07-27T12:00:00Z
56,US Player 056,Ohio,US,us.player056@carromus.org,2005,2026,2026-08-28T12:00:00Z
57,US Player 057,Washington,US,us.player057@carromus.org,1996,2026,2026-09-01T12:00:00Z
58,US Player 058,Colorado,US,us.player058@carromus.org,1987,2026,2026-10-02T12:00:00Z
59,US Player 059,Virginia,US,us.player059@carromus.org,1978,2026,2026-11-03T12:00:00Z
60,US Player 060,Michigan,US,us.player060@carromus.org,1969,2026,2026-12-04T12:00:00Z
61,US Player 061,California,US,us.player061@carromus.org,1960,2026,2026-01-05T12:00:00Z
62,US Player 062,Texas,US,us.player062@carromus.org,1951,2026,2026-02-06T12:00:00Z
63,US Player 063,Florida,US,us.player063@carromus.org,1942,2026,2026-03-07T12:00:00Z
64,US Player 064,NewYork,US,us.player064@carromus.org,1933,2026,2026-04-08T12:00:00Z
65,US Player 065,Illinois,US,us.player065@carromus.org,1924,2026,2026-05-09T12:00:00Z
66,US Player 066,Georgia,US,us.player066@carromus.org,1915,2026,2026-06-10T12:00:00Z
67,US Player 067,Arizona,US,us.player067@carromus.org,1906,2026,2026-07-11T12:00:00Z
68,US Player 068,Ohio,US,us.player068@carromus.org,1897,2026,2026-08-12T12:00:00Z
69,US Player 069,Washington,US,us.player069@carromus.org,1888,2026,2026-09-13T12:00:00Z
70,US Player 070,Colorado,US,us.player070@carromus.org,1879,2026,2026-10-14T12:00:00Z
71,US Player 071,Virginia,US,us.player071@carromus.org,1870,2026,2026-11-15T12:00:00Z
72,US Player 072,Michigan,US,us.player072@carromus.org,1861,2026,2026-12-16T12:00:00Z
73,US Player 073,California,US,us.player073@carromus.org,1852,2026,2026-01-17T12:00:00Z
74,US Player 074,Texas,US,us.player074@carromus.org,1843,2026,2026-02-18T12:00:00Z
75,US Player 075,Florida,US,us.player075@carromus.org,1834,2026,2026-03-19T12:00:00Z
76,US Player 076,NewYork,US,us.player076@carromus.org,1825,2026,2026-04-20T12:00:00Z
77,US Player 077,Illinois,US,us.player077@carromus.org,1816,2026,2026-05-21T12:00:00Z
78,US Player 078,Georgia,US,us.player078@carromus.org,1807,2026,2026-06-22T12:00:00Z
79,US Player 079,Arizona,US,us.player079@carromus.org,1798,2026,2026-07-23T12:00:00Z
80,US Player 080,Ohio,US,us.player080@carromus.org,1789,2026,2026-08-24T12:00:00Z
81,US Player 081,Washington,US,us.player081@carromus.org,1780,2026,2026-09-25T12:00:00Z
82,US Player 082,Colorado,US,us.player082@carromus.org,1771,2026,2026-10-26T12:00:00Z
83,US Player 083,Virginia,US,us.player083@carromus.org,1762,2026,2026-11-27T12:00:00Z
84,US Player 084,Michigan,US,us.player084@carromus.org,1753,2026,2026-12-28T12:00:00Z
85,US Player 085,California,US,us.player085@carromus.org,1744,2026,2026-01-01T12:00:00Z
86,US Player 086,Texas,US,us.player086@carromus.org,1735,2026,2026-02-02T12:00:00Z
87,US Player 087,Florida,US,us.player087@carromus.org,1726,2026,2026-03-03T12:00:00Z
88,US Player 088,NewYork,US,us.player088@carromus.org,1717,2026,2026-04-04T12:00:00Z
89,US Player 089,Illinois,US,us.player089@carromus.org,1708,2026,2026-05-05T12:00:00Z
90,US Player 090,Georgia,US,us.player090@carromus.org,1699,2026,2026-06-06T12:00:00Z
91,US Player 091,Arizona,US,us.player091@carromus.org,1690,2026,2026-07-07T12:00:00Z
92,US Player 092,Ohio,US,us.player092@carromus.org,1681,2026,2026-08-08T12:00:00Z
93,US Player 093,Washington,US,us.player093@carromus.org,1672,2026,2026-09-09T12:00:00Z
94,US Player 094,Colorado,US,us.player094@carromus.org,1663,2026,2026-10-10T12:00:00Z
95,US Player 095,Virginia,US,us.player095@carromus.org,1654,2026,2026-11-11T12:00:00Z
96,US Player 096,Michigan,US,us.player096@carromus.org,1645,2026,2026-12-12T12:00:00Z
97,US Player 097,California,US,us.player097@carromus.org,1636,2026,2026-01-13T12:00:00Z
98,US Player 098,Texas,US,us.player098@carromus.org,1627,2026,2026-02-14T12:00:00Z
99,US Player 099,Florida,US,us.player099@carromus.org,1618,2026,2026-03-15T12:00:00Z
100,US Player 100,NewYork,US,us.player100@carromus.org,1609,2026,2026-04-16T12:00:00Z
